כותרת,הערה,כתובת אתר,תגיות,תגובה
גאושיונג,,https://www.google.com/maps/place/%D7%92%D7%90%D7%95%D7%A9%D7%99%D7%95%D7%A0%D7%92%E2%80%AD/data=!4m2!3m1!1s0x346e43517a7a741b:0x4826a24a54732a37,,
Alishan,,https://www.google.com/maps/place/Alishan/data=!4m2!3m1!1s0x346ef1cd35e151ab:0x7b575ddb2047491f,,
טאיג'ונג,,https://www.google.com/maps/place/%D7%98%D7%90%D7%99%D7%92'%D7%95%D7%A0%D7%92%E2%80%AD/data=!4m2!3m1!1s0x346917dff97922ef:0x87523ee47ea6447f,,
Shi-men Ting,שכונה ממולצת לישון בה בטאיפי,https://www.google.com/maps/place/Shi-men+Ting/data=!4m2!3m1!1s0x3442a90918a8262b:0xcbf4f13adf52d4f7,,
Alishan National Forest Recreation Area,,https://www.google.com/maps/place/Alishan+National+Forest+Recreation+Area/data=!4m2!3m1!1s0x346edc20ac26153b:0xfff7f85ca03bbfd4,,
Sun-Link-Sea,,https://www.google.com/maps/place/Sun-Link-Sea/data=!4m2!3m1!1s0x346ed0c126155369:0x26cc7ab7e37ab8ef,,
Kenting National Park,,https://www.google.com/maps/place/Kenting+National+Park/data=!4m2!3m1!1s0x3471b3fadac47ca3:0xf7179fa8495df57f,,
Pingxi District,,https://www.google.com/maps/place/Pingxi+District/data=!4m2!3m1!1s0x345d512c7c6f46f3:0xc13f4468555ee73f,,
Sun Moon Lake,,https://www.google.com/maps/place/Sun+Moon+Lake/data=!4m2!3m1!1s0x3468d7f93dfdc67f:0xe0f57471120984a7,,
Riyue Tan,,https://www.google.com/maps/place/Riyue+Tan/data=!4m2!3m1!1s0x3468d5e076ee0005:0xec17a6fd5312a528,,
Alishan Township,,https://www.google.com/maps/place/Alishan+Township/data=!4m2!3m1!1s0x346ee75449af122b:0x91d9e9efcca8b4ec,,
Dulan Forest,,https://www.google.com/maps/place/Dulan+Forest/data=!4m2!3m1!1s0x346fa3019e94ee25:0x31d0299ee5627480,,
Ximen,,https://www.google.com/maps/place/Ximen/data=!4m2!3m1!1s0x3442a90bd0f5edcb:0x58f720c161999bf1,,
קיושו,,https://www.google.com/maps/place/%D7%A7%D7%99%D7%95%D7%A9%D7%95%E2%80%AD/data=!4m2!3m1!1s0x3541217f4eab6129:0xbe24d8dc2e9337ef,,
האלפים היפניים,,https://www.google.com/maps/place/%D7%94%D7%90%D7%9C%D7%A4%D7%99%D7%9D+%D7%94%D7%99%D7%A4%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m2!3m1!1s0x600291b57e334125:0xb9eb05477b34591e,,
קיוטו,,https://www.google.com/maps/place/%D7%A7%D7%99%D7%95%D7%98%D7%95%E2%80%AD/data=!4m2!3m1!1s0x5fff7420f91f1b61:0x590a7bc238b19538,,
הירושימה,,https://www.google.com/maps/place/%D7%94%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9E%D7%94%E2%80%AD/data=!4m2!3m1!1s0x355089d119b7f36b:0xa58e24d21615ddbf,,
טוקיו,,https://www.google.com/maps/place/%D7%98%D7%95%D7%A7%D7%99%D7%95%E2%80%AD/data=!4m2!3m1!1s0x605d1b87f02e57e7:0x2e01618b22571b89,,
אוסקה,,https://www.google.com/maps/place/%D7%90%D7%95%D7%A1%D7%A7%D7%94%E2%80%AD/data=!4m2!3m1!1s0x6000e6553406e2e1:0xc55bc16ee46a2fe7,,
קיוטו,,https://www.google.com/maps/place/%D7%A7%D7%99%D7%95%D7%98%D7%95%E2%80%AD/data=!4m2!3m1!1s0x6001a8d6cd3cc3f1:0xc0961d366bbb1d3d,,
גינזה,,https://www.google.com/maps/place/%D7%92%D7%99%D7%A0%D7%96%D7%94%E2%80%AD/data=!4m2!3m1!1s0x60188be701836fbb:0x604685b30ba99851,,
שינג'וקו,,https://www.google.com/maps/place/%D7%A9%D7%99%D7%A0%D7%92'%D7%95%D7%A7%D7%95%E2%80%AD/data=!4m2!3m1!1s0x60188d2059b7fd4b:0xec61c68fe232efd2,,
שיבויה,,https://www.google.com/maps/place/%D7%A9%D7%99%D7%91%D7%95%D7%99%D7%94%E2%80%AD/data=!4m2!3m1!1s0x60188cb2eb3108d1:0xf11cd9b2395b6677,,
